id,stockout_days,lost_units,total_demand,fill_rate,avg_on_hand
FOODS_2_042_CA_1_evaluation,0,0.0,0.0,1.0,0.22768492705688614
FOODS_2_043_CA_1_evaluation,4,8.000549981901734,51.0,0.8431264709431032,4.464118755494114
FOODS_2_044_CA_1_evaluation,0,0.0,39.0,1.0,6.71977232132798
FOODS_2_045_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_2_046_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_2_047_CA_1_evaluation,0,0.0,70.0,1.0,11.73301375566127
FOODS_2_048_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_2_049_CA_1_evaluation,2,1.4554005624650728,22.0,0.9338454289788604,4.551306721008339
FOODS_2_050_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_2_051_CA_1_evaluation,0,0.0,39.0,1.0,7.216550192459233
FOODS_2_052_CA_1_evaluation,7,19.411955202579264,74.0,0.7376762810462262,7.611296913640895
FOODS_2_053_CA_1_evaluation,0,0.0,15.0,1.0,2.3879380025880113
FOODS_2_054_CA_1_evaluation,2,3.348954043240809,74.0,0.9547438642805296,14.404393251739354
FOODS_2_055_CA_1_evaluation,0,0.0,17.0,1.0,4.080535577066728
FOODS_2_056_CA_1_evaluation,2,4.988055321077251,33.0,0.8488468084522045,7.116101366334921
FOODS_2_057_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_2_058_CA_1_evaluation,1,0.22404019505695505,14.0,0.9839971289245032,3.6176841394215677
FOODS_2_059_CA_1_evaluation,3,8.152505717667385,40.0,0.7961873570583153,7.523031221832765
FOODS_2_060_CA_1_evaluation,0,0.0,52.0,1.0,13.04222681093472
FOODS_2_061_CA_1_evaluation,0,0.0,60.0,1.0,7.606453874835336
FOODS_2_062_CA_1_evaluation,0,0.0,15.0,1.0,4.138570730092595
FOODS_2_063_CA_1_evaluation,2,1.7606514695736664,86.0,0.9795273084933295,7.64379711210546
FOODS_2_064_CA_1_evaluation,0,0.0,21.0,1.0,3.698001889105266
FOODS_2_065_CA_1_evaluation,0,0.0,42.0,1.0,5.636913362400923
FOODS_2_066_CA_1_evaluation,0,0.0,9.0,1.0,4.369373082958405
FOODS_2_067_CA_1_evaluation,0,0.0,0.0,1.0,0.21107670309084706
FOODS_2_068_CA_1_evaluation,0,0.0,4.0,1.0,2.6218607234245277
FOODS_2_069_CA_1_evaluation,1,0.4855475723251388,12.0,0.9595377023062385,3.0286964636132874
FOODS_2_070_CA_1_evaluation,3,7.39456786717097,33.0,0.775922185843304,7.204074099621776
FOODS_2_071_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_2_072_CA_1_evaluation,5,6.957151979307454,96.0,0.927529666882214,5.399488384154799
FOODS_2_073_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
